id_monitoreo_ruta,id_despacho,ubicacion_actual,velocidad,temperatura_carga,combustible_restante,estado_compartimento,timestamp_registro,distancia_recorrida,tiempo_transcurrido
51d33b4a-ed1f-4941-b707-4c0f3f159aac,b8c9d0e1-f2a3-4b5c-6d7e-8f9a0b1c2d3e,"(-11.875194,-76.203363)",90.14,0.9,86.95,cerrado,2025-05-03T03:49:29.640994,467.04,6:21:00
c778b5da-b699-4e7a-8c4a-134c1e95e513,c3d4e5f6-a7b8-6c7d-0e9f-1a2b3c4d5e6f,"(-11.589633,-76.829438)",78.93,9.1,84.12,abierto,2025-05-01T23:18:29.640994,222.79,7:55:00
68141af9-d8fe-4336-af3b-bd8b42c2e7bb,a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c4d,"(-11.013677,-76.174878)",41.3,-4.4,68.06,abierto,2025-05-03T03:33:29.640994,429.57,5:15:00
eaf8f847-4d49-4c29-8b8f-14a4edef50f4,c3d4e5f6-a7b8-6c7d-0e9f-1a2b3c4d5e6f,"(-11.740234,-76.163932)",8.04,-7.7,71.68,cerrado,2025-04-29T14:47:29.640994,74.58,9:40:00
68db0ed2-6936-4d99-b2c7-69fd2c9e4cc2,e5f6a7b8-c9d0-8e9f-1a2b-3c4d5e6f7a8b,"(-11.986634,-76.131592)",88.09,4.6,31.89,cerrado,2025-04-28T15:34:29.640994,264.17,9:43:00
ffe02470-06f3-4726-bffc-73dc1961be76,b2c3d4e5-f6a7-5b6c-9d8e-0f1a2b3c4d5e,"(-11.302779,-76.155609)",30.07,6.5,44.51,cerrado,2025-04-29T01:01:29.640994,404.67,4:11:00
8c0cf90a-7928-4205-911a-db1af2c08250,b2c3d4e5-f6a7-5b6c-9d8e-0f1a2b3c4d5e,"(-11.436567,-76.91269)",31.44,-7.4,21.17,abierto,2025-05-01T00:56:29.640994,81.26,1:50:00
abeebc4b-8425-4c73-898e-b1994fb0d256,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a,"(-11.958012,-76.950625)",95.71,-7.9,82.46,cerrado,2025-05-04T09:48:29.640994,381.29,6:23:00
67c17acf-f24d-414d-8070-4cffa561d1f3,b2c3d4e5-f6a7-5b6c-9d8e-0f1a2b3c4d5e,"(-11.289267,-76.288683)",92.46,9.5,7.33,abierto,2025-05-02T08:45:29.640994,411.21,5:04:00
cc5e995c-7c7b-411a-a7cb-5b8d880a1b80,a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c4d,"(-11.601676,-76.515526)",26.59,1.4,3.71,cerrado,2025-05-01T21:35:29.640994,423.71,6:17:00
ac865c4f-596e-4679-b459-f0ad34381312,a7b8c9d0-e1f2-3a4b-5c6d-7e8f9a0b1c2d,"(-11.831181,-76.373343)",61.96,-2.3,78.26,cerrado,2025-05-01T19:31:29.640994,225.97,8:57:00
b43f9c6e-c220-4b3f-8c11-8ef7271858ba,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a,"(-11.96143,-76.898948)",118.55,-2.4,57.7,abierto,2025-04-29T19:40:29.640994,24.62,1:55:00
9ff766b9-3501-4831-b835-6437a79a8af5,a7b8c9d0-e1f2-3a4b-5c6d-7e8f9a0b1c2d,"(-11.350463,-76.205886)",26.84,-0.4,83.93,cerrado,2025-05-02T09:57:29.640994,244.61,2:09:00
e6587255-a946-4b6e-b5d2-57cca8c878f8,c3d4e5f6-a7b8-6c7d-0e9f-1a2b3c4d5e6f,"(-11.757114,-76.86821)",103.24,4.9,70.46,cerrado,2025-05-02T03:53:29.640994,266.32,5:47:00
ca87d038-74d3-4cdb-86a5-8c64e42b4a0a,c3d4e5f6-a7b8-6c7d-0e9f-1a2b3c4d5e6f,"(-11.5239,-76.116352)",26.36,6.6,43.26,abierto,2025-04-30T13:20:29.640994,158.52,0:38:00
69259848-a63d-451d-a822-bde3ec93f003,e5f6a7b8-c9d0-8e9f-1a2b-3c4d5e6f7a8b,"(-11.01037,-76.718784)",65.83,-8.6,26.59,abierto,2025-04-28T16:51:29.640994,491.15,7:32:00
60e50a54-fbff-4fec-b971-52787291a3c0,e5f6a7b8-c9d0-8e9f-1a2b-3c4d5e6f7a8b,"(-11.560104,-76.941207)",27.1,-8.8,11.48,abierto,2025-04-28T12:15:29.640994,219.05,1:47:00
e56133fa-301a-4f32-b524-f3a0151abd2b,a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c4d,"(-11.262779,-76.238548)",2.88,1.7,90.31,abierto,2025-04-28T03:28:29.640994,402.13,1:45:00
d323dd10-d561-433f-b28b-2cacda943964,e5f6a7b8-c9d0-8e9f-1a2b-3c4d5e6f7a8b,"(-11.735482,-76.888405)",18.56,-6.7,90.31,cerrado,2025-05-01T04:06:29.640994,401.46,8:26:00
81e9f433-3bb3-4f1e-9f60-edbaa538a24e,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a,"(-11.425121,-76.536731)",96.38,0.3,36.12,abierto,2025-05-02T16:01:29.640994,234.48,0:36:00
63ad9c1a-bed8-4980-8c84-06d5e48e6892,b8c9d0e1-f2a3-4b5c-6d7e-8f9a0b1c2d3e,"(-11.215098,-76.024116)",95.09,-2.7,94.11,cerrado,2025-05-02T04:04:29.640994,185.34,3:50:00
6cede979-f11b-4445-982d-3d703419be7b,a7b8c9d0-e1f2-3a4b-5c6d-7e8f9a0b1c2d,"(-11.165412,-76.669632)",54.22,-3.7,93.06,cerrado,2025-05-01T18:05:29.640994,353.62,4:22:00
533868e6-677b-4626-8778-912ee7ebd5d1,a7b8c9d0-e1f2-3a4b-5c6d-7e8f9a0b1c2d,"(-11.250888,-76.573733)",92.72,-8.9,51.25,cerrado,2025-04-30T10:33:29.640994,384.03,1:47:00
500a5f28-b32b-44a7-a070-b1d23ae5109a,b2c3d4e5-f6a7-5b6c-9d8e-0f1a2b3c4d5e,"(-11.641719,-76.658927)",112.75,6.4,86.51,abierto,2025-05-01T11:41:29.640994,457.52,3:08:00
2106ea7e-fa1f-4707-9c47-bd2bb8b78868,c3d4e5f6-a7b8-6c7d-0e9f-1a2b3c4d5e6f,"(-11.015402,-76.215989)",69.0,-3.6,56.69,cerrado,2025-04-30T19:47:29.640994,252.03,2:54:00
eb2ce248-2bfd-4602-9493-bd5542b8315b,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a,"(-11.097074,-76.690632)",67.69,4.0,30.67,cerrado,2025-05-04T17:16:29.640994,102.12,7:16:00
378fbe25-8d99-45fc-b6e8-0e5609a998f6,b2c3d4e5-f6a7-5b6c-9d8e-0f1a2b3c4d5e,"(-11.52612,-76.461214)",77.21,6.2,85.37,cerrado,2025-05-01T10:20:29.640994,343.34,0:21:00
2800d8cb-6fa4-4961-864a-d8ac401058d1,b2c3d4e5-f6a7-5b6c-9d8e-0f1a2b3c4d5e,"(-11.683789,-76.202324)",57.6,-8.2,72.92,abierto,2025-05-01T00:33:29.640994,47.08,6:57:00
efb19025-151e-4226-9b5e-1663742a39c6,a7b8c9d0-e1f2-3a4b-5c6d-7e8f9a0b1c2d,"(-11.852591,-76.843006)",103.02,8.9,0.3,abierto,2025-05-03T08:54:29.640994,373.45,7:40:00
9a1e76b6-c638-487e-88d0-e2ac8d22a2ff,c9d0e1f2-a3b4-5c6d-7e8f-9a0b1c2d3e4f,"(-11.864087,-76.678799)",39.0,4.3,51.29,abierto,2025-05-03T21:41:29.640994,499.4,9:32:00
ad3c6960-6b26-4505-8d32-2dfecda4c948,b2c3d4e5-f6a7-5b6c-9d8e-0f1a2b3c4d5e,"(-11.374289,-76.628765)",95.43,-5.5,70.5,abierto,2025-04-30T17:53:29.640994,34.12,1:52:00
19d64e29-1360-494d-8ce5-66345dfc46ba,d4e5f6a7-b8c9-7d8e-0f1a-2b3c4d5e6f7a,"(-11.58762,-76.779744)",84.87,-7.7,91.36,cerrado,2025-05-03T03:03:29.640994,239.55,7:26:00
e20bf1f7-4493-434d-81df-d3f43913f1ef,e5f6a7b8-c9d0-8e9f-1a2b-3c4d5e6f7a8b,"(-11.767974,-76.313778)",15.61,-9.4,96.09,cerrado,2025-05-01T05:50:29.640994,21.2,8:47:00
497848c4-2d97-41f5-8f1c-7d60e3805706,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a,"(-11.560655,-76.185492)",71.06,-9.1,73.02,abierto,2025-04-28T20:12:29.640994,358.13,4:03:00
a33ed493-b0e1-482f-a7a5-07fff725af3e,c9d0e1f2-a3b4-5c6d-7e8f-9a0b1c2d3e4f,"(-11.104409,-76.463519)",35.36,1.8,11.48,abierto,2025-04-29T11:11:29.640994,148.59,3:11:00
ce8ca911-73ca-4725-bb66-4a056433f6ef,c9d0e1f2-a3b4-5c6d-7e8f-9a0b1c2d3e4f,"(-11.222996,-76.576014)",40.67,-4.1,75.49,cerrado,2025-04-30T08:38:29.640994,25.64,0:53:00
1c6af093-9c86-4c29-8c92-727ada65bb61,e5f6a7b8-c9d0-8e9f-1a2b-3c4d5e6f7a8b,"(-11.538806,-76.450289)",31.77,-1.3,51.27,abierto,2025-05-01T09:21:29.640994,324.37,9:01:00
accef6a4-1a2f-4ca5-a8ec-4ae67d5f5453,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a,"(-11.390109,-76.269206)",63.41,3.2,60.9,cerrado,2025-05-03T02:51:29.640994,308.82,9:21:00
4bb75e38-cfc6-4fcc-808c-a0dc7a82f77c,f6a7b8c9-d0e1-9f2a-3b4c-5d6e7f8a9b0c,"(-11.555204,-76.424906)",35.62,2.9,46.56,cerrado,2025-05-04T13:46:29.640994,488.99,3:10:00
b1ed260b-2a07-4131-a098-5681830cafce,b8c9d0e1-f2a3-4b5c-6d7e-8f9a0b1c2d3e,"(-11.739236,-76.194241)",54.85,-7.1,68.94,abierto,2025-05-04T00:14:29.640994,222.69,9:19:00
0b010fc3-84ad-427c-8865-149048d90251,e5f6a7b8-c9d0-8e9f-1a2b-3c4d5e6f7a8b,"(-11.695841,-76.991932)",83.38,4.8,16.77,abierto,2025-04-28T19:26:29.640994,393.88,7:20:00
d865b1e7-8e86-4e9c-a9d9-d628fbf05971,f6a7b8c9-d0e1-9f2a-3b4c-5d6e7f8a9b0c,"(-11.981918,-76.278492)",62.75,1.7,11.17,abierto,2025-04-29T04:11:29.640994,428.3,2:16:00
d32464fe-fe63-4da6-818d-53bdb6f01e2f,b2c3d4e5-f6a7-5b6c-9d8e-0f1a2b3c4d5e,"(-11.061813,-76.10559)",47.02,-5.4,30.97,cerrado,2025-05-03T09:44:29.640994,124.24,9:27:00
6f920975-725d-4a6e-836e-c3a4e56258d2,b2c3d4e5-f6a7-5b6c-9d8e-0f1a2b3c4d5e,"(-11.898117,-76.571308)",41.1,0.6,70.68,abierto,2025-04-30T18:02:29.640994,162.26,1:05:00
f6031217-f460-4cca-b00d-9690c2ff6124,c9d0e1f2-a3b4-5c6d-7e8f-9a0b1c2d3e4f,"(-11.637121,-76.12857)",67.07,9.4,83.21,cerrado,2025-04-30T03:45:29.640994,46.59,7:36:00
7b40143b-dbc4-4bf1-abf9-0f1da337255f,b2c3d4e5-f6a7-5b6c-9d8e-0f1a2b3c4d5e,"(-11.207717,-76.529957)",100.4,-0.0,58.65,cerrado,2025-05-04T12:29:29.640994,164.08,1:44:00
48b29ec5-8c76-4486-96fc-14ff8bf6c519,c3d4e5f6-a7b8-6c7d-0e9f-1a2b3c4d5e6f,"(-11.509871,-76.171018)",46.83,4.9,65.58,cerrado,2025-04-28T01:47:29.640994,8.62,6:14:00
48985fc7-947b-4cd3-b282-880afabaa6e5,f6a7b8c9-d0e1-9f2a-3b4c-5d6e7f8a9b0c,"(-11.792208,-76.534609)",111.89,-5.5,78.75,abierto,2025-05-03T17:55:29.640994,315.11,1:36:00
a6c10099-e8a4-44e4-a15f-9f436abf6614,c9d0e1f2-a3b4-5c6d-7e8f-9a0b1c2d3e4f,"(-11.580333,-76.133178)",104.14,-0.3,51.92,cerrado,2025-04-29T09:30:29.640994,41.08,7:22:00
ba5717e9-2652-4bb5-8a36-82afe3956af9,b2c3d4e5-f6a7-5b6c-9d8e-0f1a2b3c4d5e,"(-11.538672,-76.591654)",67.99,4.6,46.1,cerrado,2025-05-03T19:00:29.640994,497.64,4:05:00
